labels,timestamp,value
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001938160235,"$0;1708602001938160235;protected void tools.descartes.teastore.webui.servlet.CartServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643308;1708602001856465128;1708602001938158411;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001936948771,"$0;1708602001936948771;protected void tools.descartes.teastore.webui.servlet.CategoryServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643305;1708602001824656113;1708602001936946912;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001931795699,"$0;1708602001931795699;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643320;1708602001919739480;1708602001931793403;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001918249661,"$0;1708602001918249661;protected void tools.descartes.teastore.webui.servlet.LoginActionServlet.handlePOSTRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643318;1708602001912596347;1708602001918247238;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001913645251,"$0;1708602001913645251;protected void tools.descartes.teastore.webui.servlet.CartActionServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643317;1708602001899529525;1708602001913642939;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001912020420,"$0;1708602001912020420;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643316;1708602001898902177;1708602001912018514;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001910844650,"$0;1708602001910844650;protected void tools.descartes.teastore.webui.servlet.CartServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643306;1708602001832875274;1708602001910841544;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001905624895,"$0;1708602001905624895;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643315;1708602001892426983;1708602001905621881;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001902455017,"$0;1708602001902455017;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643313;1708602001889346631;1708602001902453092;teastore-webui-76644ffb9f-xgkfs;0;0"
"{filename=/symlogs/sym-kieker-output.dat, job=rabbitmq-logs}",1708602001899882979,"$0;1708602001899882979;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4879931671232643312;1708602001886568158;1708602001899881145;teastore-webui-76644ffb9f-xgkfs;0;0"
